CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,total_denials,cash_per_vol_denial,date
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6451.0,3850464.0,0.0,2019,Q3 2019,0.0,0.0,0.1675,0.0,0.167538,6451.0,0.0,2019-07-01
Envoy Air,11.0,127.0,0.0,423.0,0.0,561.0,561.0,3286.0,3861879.0,0.0,2019,Q3 2019,138.0,423.0,0.0996,0.014527,0.085088,3847.0,0.0,2019-07-01
ExpressJet Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,1433425.0,0.0,2019,Q3 2019,0.0,0.0,0.0947,0.0,0.094738,1358.0,0.0,2019-07-01
Frontier Airlines,0.0,118.0,0.0,99.0,13.0,230.0,61.0,893.0,5731264.0,2489.0,2019,Q3 2019,118.0,112.0,0.0196,0.004013,0.015581,1123.0,2.79,2019-07-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2828870.0,0.0,2019,Q3 2019,0.0,0.0,0.0012,0.0,0.001202,34.0,0.0,2019-07-01
JetBlue Airways,0.0,7.0,0.0,1.0,0.0,8.0,7.0,785.0,9760018.0,426338.0,2019,Q3 2019,7.0,1.0,0.0081,8.2e-05,0.008043,793.0,543.11,2019-07-01
Mesa Airlines,0.0,16.0,0.0,72.0,0.0,88.0,88.0,1861.0,3599017.0,0.0,2019,Q3 2019,16.0,72.0,0.0542,0.002445,0.051709,1949.0,0.0,2019-07-01
PSA Airlines,7.0,152.0,0.0,180.0,0.0,339.0,339.0,3027.0,3810183.0,0.0,2019,Q3 2019,159.0,180.0,0.0883,0.008897,0.079445,3366.0,0.0,2019-07-01
Republic Airline,2.0,108.0,0.0,109.0,0.0,219.0,219.0,5378.0,4900415.0,0.0,2019,Q3 2019,110.0,109.0,0.1142,0.004469,0.109746,5597.0,0.0,2019-07-01
SkyWest Airlines,1.0,64.0,0.0,136.0,2.0,203.0,201.0,14794.0,10472196.0,0.0,2019,Q3 2019,65.0,138.0,0.1432,0.001938,0.141269,14997.0,0.0,2019-07-01
Southwest Airlines,122.0,192.0,0.0,0.0,0.0,314.0,314.0,4806.0,40777514.0,0.0,2019,Q3 2019,314.0,0.0,0.0126,0.00077,0.011786,5120.0,0.0,2019-07-01
Spirit Airlines,0.0,43.0,1.0,20.0,0.0,64.0,43.0,4656.0,8390933.0,0.0,2019,Q3 2019,43.0,21.0,0.0563,0.000763,0.055488,4720.0,0.0,2019-07-01
United Air Lines,0.0,5.0,0.0,0.0,2.0,7.0,5.0,9110.0,26963748.0,0.0,2019,Q3 2019,5.0,2.0,0.0338,2.6e-05,0.033786,9117.0,0.0,2019-07-01
Alaska Airlines,0.0,60.0,0.0,36.0,12.0,108.0,60.0,3147.0,8547197.0,0.0,2019,Q4 2019,60.0,48.0,0.0381,0.001264,0.036819,3255.0,0.0,2019-10-01
Allegiant Airlines,0.0,0.0,0.0,2.0,0.0,2.0,0.0,347.0,3613426.0,0.0,2019,Q4 2019,0.0,2.0,0.0097,5.5e-05,0.009603,349.0,0.0,2019-10-01
American Airlines,40.0,446.0,0.0,554.0,31.0,1071.0,1040.0,15503.0,35416937.0,0.0,2019,Q4 2019,486.0,585.0,0.0468,0.003024,0.043773,16574.0,0.0,2019-10-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26246.0,36796401.0,0.0,2019,Q4 2019,0.0,0.0,0.0713,0.0,0.071328,26246.0,0.0,2019-10-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6772.0,3780820.0,0.0,2019,Q4 2019,0.0,0.0,0.1791,0.0,0.179115,6772.0,0.0,2019-10-01
Envoy Air,2.0,67.0,0.0,475.0,0.0,544.0,544.0,2427.0,3703185.0,0.0,2019,Q4 2019,69.0,475.0,0.0802,0.01469,0.065538,2971.0,0.0,2019-10-01
ExpressJet Airlines,0.0,1.0,0.0,0.0,0.0,1.0,1.0,990.0,1467237.0,0.0,2019,Q4 2019,1.0,0.0,0.0675,6.8e-05,0.067474,991.0,0.0,2019-10-01
Frontier Airlines,0.0,145.0,0.0,83.0,21.0,249.0,98.0,821.0,5764965.0,2489.0,2019,Q4 2019,145.0,104.0,0.0186,0.004319,0.014241,1070.0,3.03,2019-10-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,2674636.0,1000.0,2019,Q4 2019,0.0,0.0,0.0038,0.0,0.003776,101.0,9.9,2019-10-01
JetBlue Airways,0.0,12.0,0.0,4.0,0.0,16.0,12.0,637.0,9504092.0,386415.0,2019,Q4 2019,12.0,4.0,0.0069,0.000168,0.006702,653.0,606.62,2019-10-01
Mesa Airlines,2.0,31.0,0.0,69.0,0.0,102.0,102.0,1428.0,3528613.0,0.0,2019,Q4 2019,33.0,69.0,0.0434,0.002891,0.040469,1530.0,0.0,2019-10-01
PSA Airlines,3.0,86.0,0.0,370.0,0.0,459.0,459.0,2683.0,3816412.0,0.0,2019,Q4 2019,89.0,370.0,0.0823,0.012027,0.070302,3142.0,0.0,2019-10-01
Republic Airline,1.0,77.0,0.0,42.0,0.0,120.0,120.0,3532.0,3218312.0,0.0,2019,Q4 2019,78.0,42.0,0.1135,0.003729,0.109747,3652.0,0.0,2019-10-01
SkyWest Airlines,3.0,37.0,0.0,76.0,0.0,116.0,116.0,13524.0,10085483.0,0.0,2019,Q4 2019,40.0,76.0,0.1352,0.00115,0.134094,13640.0,0.0,2019-10-01
Southwest Airlines,116.0,153.0,0.0,0.0,0.0,269.0,269.0,4339.0,40839000.0,0.0,2019,Q4 2019,269.0,0.0,0.0113,0.000659,0.010625,4608.0,0.0,2019-10-01
Spirit Airlines,6.0,85.0,1.0,29.0,0.0,121.0,91.0,5575.0,8276219.0,0.0,2019,Q4 2019,91.0,30.0,0.0688,0.001462,0.067362,5696.0,0.0,2019-10-01
United Air Lines,0.0,10.0,0.0,0.0,3.0,13.0,10.0,5668.0,25141731.0,0.0,2019,Q4 2019,10.0,3.0,0.0226,5.2e-05,0.022544,5681.0,0.0,2019-10-01
Alaska Airlines,0.0,24.0,0.0,3.0,3.0,30.0,24.0,1515.0,6420719.0,0.0,2020,Q1 2020,24.0,6.0,0.0241,0.000467,0.023595,1545.0,0.0,2020-01-01
Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,3197140.0,0.0,2020,Q1 2020,0.0,0.0,0.0085,0.0,0.008508,272.0,0.0,2020-01-01
American Airlines,8.0,198.0,0.0,256.0,3.0,465.0,462.0,6127.0,27440927.0,0.0,2020,Q1 2020,206.0,259.0,0.024,0.001695,0.022328,6592.0,0.0,2020-01-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16399.0,27870231.0,0.0,2020,Q1 2020,0.0,0.0,0.0588,0.0,0.058841,16399.0,0.0,2020-01-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775.0,2964249.0,0.0,2020,Q1 2020,0.0,0.0,0.1274,0.0,0.127351,3775.0,0.0,2020-01-01
Envoy Air,1.0,39.0,0.0,241.0,0.0,281.0,281.0,1895.0,2863191.0,0.0,2020,Q1 2020,40.0,241.0,0.076,0.009814,0.066185,2176.0,0.0,2020-01-01
ExpressJet Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0,1239445.0,0.0,2020,Q1 2020,0.0,0.0,0.054,0.0,0.053976,669.0,0.0,2020-01-01
Frontier Airlines,0.0,58.0,0.0,26.0,12.0,96.0,29.0,481.0,4685687.0,943.0,2020,Q1 2020,58.0,38.0,0.0123,0.002049,0.010265,577.0,1.96,2020-01-01
Hawaiian Airlines,0.0,1.0,0.0,0.0,0.0,1.0,1.0,125.0,2185709.0,2000.0,2020,Q1 2020,1.0,0.0,0.0058,4.6e-05,0.005719,126.0,16.0,2020-01-01
JetBlue Airways,0.0,0.0,0.0,2.0,0.0,2.0,0.0,250.0,7303799.0,137640.0,2020,Q1 2020,0.0,2.0,0.0035,2.7e-05,0.003423,252.0,550.56,2020-01-01
Mesa Airlines,0.0,10.0,0.0,8.0,0.0,18.0,18.0,962.0,2681520.0,0.0,2020,Q1 2020,10.0,8.0,0.0365,0.000671,0.035875,980.0,0.0,2020-01-01
PSA Airlines,3.0,83.0,0.0,118.0,0.0,204.0,204.0,1291.0,3039515.0,0.0,2020,Q1 2020,86.0,118.0,0.0492,0.006712,0.042474,1495.0,0.0,2020-01-01
Republic Airline,1.0,57.0,0.0,27.0,0.0,85.0,85.0,1101.0,3098354.0,0.0,2020,Q1 2020,58.0,27.0,0.0383,0.002743,0.035535,1186.0,0.0,2020-01-01
SkyWest Airlines,4.0,55.0,0.0,151.0,1.0,211.0,206.0,9991.0,8355310.0,0.0,2020,Q1 2020,59.0,152.0,0.1221,0.002525,0.119577,10202.0,0.0,2020-01-01
Southwest Airlines,29.0,83.0,0.0,0.0,0.0,112.0,112.0,2355.0,29539107.0,0.0,2020,Q1 2020,112.0,0.0,0.0084,0.000379,0.007972,2467.0,0.0,2020-01-01
Spirit Airlines,1.0,27.0,2.0,34.0,0.0,64.0,28.0,3585.0,7195275.0,0.0,2020,Q1 2020,28.0,36.0,0.0507,0.000889,0.049824,3649.0,0.0,2020-01-01
United Air Lines,0.0,0.0,0.0,0.0,7.0,7.0,0.0,2842.0,18412040.0,0.0,2020,Q1 2020,0.0,7.0,0.0155,3.8e-05,0.015436,2849.0,0.0,2020-01-01
Alaska Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,916543.0,0.0,2020,Q2 2020,0.0,0.0,0.0047,0.0,0.004692,43.0,0.0,2020-04-01
Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1296542.0,0.0,2020,Q2 2020,0.0,0.0,0.0012,0.0,0.001157,15.0,0.0,2020-04-01
American Airlines,11.0,68.0,0.0,6.0,0.0,85.0,85.0,647.0,5369982.0,0.0,2020,Q2 2020,79.0,6.0,0.0136,0.001583,0.012048,732.0,0.0,2020-04-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.0,2956649.0,0.0,2020,Q2 2020,0.0,0.0,0.0523,0.0,0.052289,1546.0,0.0,2020-04-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,404077.0,0.0,2020,Q2 2020,0.0,0.0,0.0686,0.0,0.068551,277.0,0.0,2020-04-01
Envoy Air,5.0,17.0,0.0,4.0,0.0,26.0,26.0,190.0,847305.0,0.0,2020,Q2 2020,22.0,4.0,0.0255,0.003069,0.022424,216.0,0.0,2020-04-01
ExpressJet Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,115481.0,0.0,2020,Q2 2020,0.0,0.0,0.0043,0.0,0.00433,5.0,0.0,2020-04-01
Frontier Airlines,0.0,40.0,0.0,0.0,5.0,45.0,24.0,170.0,690113.0,149.0,2020,Q2 2020,40.0,5.0,0.0312,0.006521,0.024634,215.0,0.88,2020-04-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,176278.0,0.0,2020,Q2 2020,0.0,0.0,0.017,0.0,0.017019,30.0,0.0,2020-04-01
JetBlue Airways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,583894.0,19800.0,2020,Q2 2020,0.0,0.0,0.005,0.0,0.004967,29.0,682.76,2020-04-01
Mesa Airlines,1.0,11.0,0.0,0.0,0.0,12.0,12.0,95.0,536745.0,0.0,2020,Q2 2020,12.0,0.0,0.0199,0.002236,0.017699,107.0,0.0,2020-04-01
PSA Airlines,0.0,39.0,0.0,0.0,0.0,39.0,39.0,226.0,852181.0,0.0,2020,Q2 2020,39.0,0.0,0.0311,0.004576,0.02652,265.0,0.0,2020-04-01
Republic Airline,2.0,17.0,0.0,2.0,0.0,21.0,21.0,81.0,592187.0,0.0,2020,Q2 2020,19.0,2.0,0.0172,0.003546,0.013678,102.0,0.0,2020-04-01
SkyWest Airlines,4.0,28.0,0.0,0.0,4.0,36.0,32.0,464.0,1642807.0,0.0,2020,Q2 2020,32.0,4.0,0.0304,0.002191,0.028244,500.0,0.0,2020-04-01
Southwest Airlines,48.0,62.0,0.0,0.0,0.0,110.0,110.0,1108.0,7058890.0,0.0,2020,Q2 2020,110.0,0.0,0.0173,0.001558,0.015697,1218.0,0.0,2020-04-01
Spirit Airlines,0.0,2.0,0.0,0.0,0.0,2.0,2.0,80.0,871869.0,0.0,2020,Q2 2020,2.0,0.0,0.0094,0.000229,0.009176,82.0,0.0,2020-04-01
United Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1333318.0,0.0,2020,Q2 2020,0.0,0.0,0.0006,0.0,0.0006,8.0,0.0,2020-04-01
Alaska Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110763.0,0.0,2020,Q3 2020,0.0,0.0,0.0,0.0,0.0,0.0,,2020-07-01
Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2036795.0,0.0,2020,Q3 2020,0.0,0.0,0.0005,0.0,0.00054,11.0,0.0,2020-07-01
American Airlines,14.0,558.0,0.0,65.0,1.0,638.0,637.0,2899.0,13703995.0,0.0,2020,Q3 2020,572.0,66.0,0.0258,0.004656,0.021154,3537.0,0.0,2020-07-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,9298752.0,0.0,2020,Q3 2020,0.0,0.0,0.0068,0.0,0.006818,634.0,0.0,2020-07-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1550894.0,0.0,2020,Q3 2020,0.0,0.0,0.005,0.0,0.004965,77.0,0.0,2020-07-01
Envoy Air,9.0,70.0,0.0,53.0,0.0,132.0,132.0,747.0,1994013.0,0.0,2020,Q3 2020,79.0,53.0,0.0441,0.00662,0.037462,879.0,0.0,2020-07-01
ExpressJet Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227234.0,0.0,2020,Q3 2020,0.0,0.0,0.0053,0.0,0.005281,12.0,0.0,2020-07-01
Frontier Airlines,0.0,54.0,1.0,0.0,9.0,64.0,23.0,256.0,2508125.0,1150.0,2020,Q3 2020,54.0,10.0,0.0128,0.002552,0.010207,320.0,4.49,2020-07-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,320241.0,0.0,2020,Q3 2020,0.0,0.0,0.0044,0.0,0.004372,14.0,0.0,2020-07-01
JetBlue Airways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1433931.0,5800.0,2020,Q3 2020,0.0,0.0,0.0006,0.0,0.000628,9.0,644.44,2020-07-01
Mesa Airlines,0.0,12.0,0.0,0.0,0.0,12.0,12.0,226.0,1390249.0,0.0,2020,Q3 2020,12.0,0.0,0.0171,0.000863,0.016256,238.0,0.0,2020-07-01
PSA Airlines,5.0,67.0,0.0,1.0,0.0,73.0,73.0,625.0,1961845.0,0.0,2020,Q3 2020,72.0,1.0,0.0356,0.003721,0.031858,698.0,0.0,2020-07-01
Republic Airline,0.0,49.0,0.0,13.0,0.0,62.0,62.0,303.0,1865200.0,0.0,2020,Q3 2020,49.0,13.0,0.0196,0.003324,0.016245,365.0,0.0,2020-07-01
SkyWest Airlines,1.0,30.0,0.0,2.0,0.0,33.0,33.0,1069.0,4650686.0,0.0,2020,Q3 2020,31.0,2.0,0.0237,0.00071,0.022986,1102.0,0.0,2020-07-01
Southwest Airlines,25.0,123.0,0.0,0.0,0.0,148.0,148.0,937.0,15080946.0,0.0,2020,Q3 2020,148.0,0.0,0.0072,0.000981,0.006213,1085.0,0.0,2020-07-01
Spirit Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,4483592.0,0.0,2020,Q3 2020,0.0,0.0,0.0051,0.0,0.005063,227.0,0.0,2020-07-01
United Air Lines,0.0,8.0,0.0,0.0,0.0,8.0,8.0,76.0,5211611.0,0.0,2020,Q3 2020,8.0,0.0,0.0016,0.000154,0.001458,84.0,0.0,2020-07-01
Alaska Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2247354.0,0.0,2020,Q4 2020,0.0,0.0,0.0,0.0,0.0,0.0,,2020-10-01
Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2180397.0,0.0,2020,Q4 2020,0.0,0.0,0.0003,0.0,0.000275,6.0,0.0,2020-10-01
American Airlines,0.0,8.0,0.0,20.0,0.0,28.0,28.0,591.0,14695523.0,0.0,2020,Q4 2020,8.0,20.0,0.0042,0.000191,0.004022,619.0,0.0,2020-10-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,11484571.0,0.0,2020,Q4 2020,0.0,0.0,0.005,0.0,0.004963,570.0,0.0,2020-10-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,2013531.0,0.0,2020,Q4 2020,0.0,0.0,0.0116,0.0,0.011572,233.0,0.0,2020-10-01
Envoy Air,2.0,14.0,0.0,14.0,0.0,30.0,30.0,408.0,2164410.0,0.0,2020,Q4 2020,16.0,14.0,0.0202,0.001386,0.01885,438.0,0.0,2020-10-01
Frontier Airlines,0.0,43.0,0.0,0.0,8.0,51.0,23.0,167.0,2619595.0,876.0,2020,Q4 2020,43.0,8.0,0.0083,0.001947,0.006375,218.0,5.25,2020-10-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,469717.0,0.0,2020,Q4 2020,0.0,0.0,0.0017,0.0,0.001703,8.0,0.0,2020-10-01
JetBlue Airways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2560789.0,24950.0,2020,Q4 2020,0.0,0.0,0.0024,0.0,0.002421,62.0,402.42,2020-10-01
Mesa Airlines,0.0,1.0,0.0,2.0,0.0,3.0,3.0,170.0,1769553.0,0.0,2020,Q4 2020,1.0,2.0,0.0098,0.00017,0.009607,173.0,0.0,2020-10-01
PSA Airlines,0.0,6.0,0.0,13.0,0.0,19.0,19.0,360.0,2083641.0,0.0,2020,Q4 2020,6.0,13.0,0.0182,0.000912,0.017277,379.0,0.0,2020-10-01
Republic Airline,1.0,2.0,0.0,18.0,0.0,21.0,21.0,217.0,2613252.0,0.0,2020,Q4 2020,3.0,18.0,0.0091,0.000804,0.008304,238.0,0.0,2020-10-01
SkyWest Airlines,0.0,5.0,0.0,0.0,0.0,5.0,5.0,720.0,5122330.0,0.0,2020,Q4 2020,5.0,0.0,0.0142,9.8e-05,0.014056,725.0,0.0,2020-10-01
Southwest Airlines,13.0,15.0,0.0,0.0,0.0,28.0,28.0,487.0,16011098.0,0.0,2020,Q4 2020,28.0,0.0,0.0032,0.000175,0.003042,515.0,0.0,2020-10-01
Spirit Airlines,0.0,12.0,0.0,87.0,0.0,99.0,12.0,685.0,5010558.0,0.0,2020,Q4 2020,12.0,87.0,0.0156,0.001976,0.013671,784.0,0.0,2020-10-01
United Air Lines,0.0,5.0,0.0,0.0,0.0,5.0,5.0,289.0,8860807.0,0.0,2020,Q4 2020,5.0,0.0,0.0033,5.6e-05,0.003262,294.0,0.0,2020-10-01
Alaska Airlines,0.0,1.0,0.0,1.0,0.0,2.0,1.0,117.0,3007066.0,0.0,2021,Q1 2021,1.0,1.0,0.004,6.7e-05,0.003891,119.0,0.0,2021-01-01
Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2322946.0,0.0,2021,Q1 2021,0.0,0.0,0.0001,0.0,0.000129,3.0,0.0,2021-01-01
American Airlines,7.0,66.0,0.0,7.0,0.0,80.0,80.0,1453.0,14719488.0,0.0,2021,Q1 2021,73.0,7.0,0.0104,0.000543,0.009871,1533.0,0.0,2021-01-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.0,12861197.0,950300.0,2021,Q1 2021,0.0,0.0,0.0108,0.0,0.010777,1386.0,685.64,2021-01-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,1940986.0,239500.0,2021,Q1 2021,0.0,0.0,0.0198,0.0,0.019835,385.0,622.08,2021-01-01
Envoy Air,1.0,22.0,0.0,9.0,0.0,32.0,32.0,849.0,2172455.0,0.0,2021,Q1 2021,23.0,9.0,0.0406,0.001473,0.03908,881.0,0.0,2021-01-01
Frontier Airlines,0.0,129.0,12.0,82.0,0.0,223.0,129.0,626.0,4812979.0,0.0,2021,Q1 2021,129.0,94.0,0.0176,0.004633,0.013006,849.0,0.0,2021-01-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,727796.0,0.0,2021,Q1 2021,0.0,0.0,0.0004,0.0,0.000412,3.0,0.0,2021-01-01
JetBlue Airways,0.0,2.0,2.0,12.0,0.0,16.0,14.0,81.0,3875067.0,32693.0,2021,Q1 2021,2.0,14.0,0.0025,0.000413,0.00209,97.0,403.62,2021-01-01
Mesa Airlines,1.0,5.0,0.0,0.0,0.0,6.0,6.0,359.0,1625143.0,0.0,2021,Q1 2021,6.0,0.0,0.0225,0.000369,0.02209,365.0,0.0,2021-01-01
PSA Airlines,0.0,8.0,0.0,0.0,0.0,8.0,8.0,599.0,1922953.0,0.0,2021,Q1 2021,8.0,0.0,0.0316,0.000416,0.03115,607.0,0.0,2021-01-01
Horizon Air,0.0,15.0,0.0,0.0,0.0,15.0,15.0,126.0,1111080.0,0.0,2021,Q1 2021,15.0,0.0,0.0127,0.00135,0.01134,141.0,0.0,2021-01-01
Republic Airline,3.0,28.0,0.0,0.0,0.0,31.0,31.0,766.0,3171190.0,82100.0,2021,Q1 2021,31.0,0.0,0.0251,0.000978,0.024155,797.0,107.18,2021-01-01
SkyWest Airlines,1.0,25.0,0.0,0.0,0.0,26.0,26.0,2295.0,5427962.0,614600.0,2021,Q1 2021,26.0,0.0,0.0428,0.000479,0.042281,2321.0,267.8,2021-01-01
Southwest Airlines,72.0,120.0,0.0,0.0,0.0,192.0,192.0,1439.0,17846213.0,0.0,2021,Q1 2021,192.0,0.0,0.0091,0.001076,0.008063,1631.0,0.0,2021-01-01
Spirit Airlines,1.0,34.0,0.0,76.0,0.0,111.0,35.0,1683.0,5236309.0,0.0,2021,Q1 2021,35.0,76.0,0.0343,0.00212,0.032141,1794.0,0.0,2021-01-01
United Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,8723919.0,0.0,2021,Q1 2021,0.0,0.0,0.0068,0.0,0.006774,591.0,0.0,2021-01-01
Alaska Airlines,0.0,16.0,0.0,17.0,0.0,33.0,16.0,915.0,5911527.0,3092.0,2021,Q2 2021,16.0,17.0,0.016,0.000558,0.015478,948.0,3.38,2021-04-01
Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,3699217.0,0.0,2021,Q2 2021,0.0,0.0,0.0055,0.0,0.005488,203.0,0.0,2021-04-01
American Airlines,24.0,331.0,0.0,53.0,0.0,408.0,408.0,5192.0,28314308.0,0.0,2021,Q2 2021,355.0,53.0,0.0198,0.001441,0.018337,5600.0,0.0,2021-04-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3231.0,24200394.0,2033608.0,2021,Q2 2021,0.0,0.0,0.0134,0.0,0.013351,3231.0,629.41,2021-04-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0,3517547.0,725549.0,2021,Q2 2021,0.0,0.0,0.0336,0.0,0.033575,1181.0,614.35,2021-04-01
Envoy Air,1.0,64.0,1.0,49.0,0.0,115.0,114.0,1422.0,3409015.0,0.0,2021,Q2 2021,65.0,50.0,0.0451,0.003373,0.041713,1537.0,0.0,2021-04-01
Frontier Airlines,0.0,198.0,6.0,130.0,0.0,334.0,330.0,886.0,5456373.0,4210.0,2021,Q2 2021,198.0,136.0,0.0224,0.006121,0.016238,1220.0,4.75,2021-04-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1717710.0,0.0,2021,Q2 2021,0.0,0.0,0.0006,0.0,0.000582,10.0,0.0,2021-04-01
JetBlue Airways,0.0,1.0,0.0,2.0,0.0,3.0,1.0,463.0,6993996.0,335840.0,2021,Q2 2021,1.0,2.0,0.0067,4.3e-05,0.00662,466.0,725.36,2021-04-01
Mesa Airlines,1.0,31.0,0.0,8.0,0.0,40.0,40.0,808.0,2494135.0,0.0,2021,Q2 2021,32.0,8.0,0.034,0.001604,0.032396,848.0,0.0,2021-04-01
PSA Airlines,9.0,62.0,4.0,40.0,0.0,115.0,111.0,1342.0,3420512.0,0.0,2021,Q2 2021,71.0,44.0,0.0426,0.003362,0.039234,1457.0,0.0,2021-04-01
Horizon Air,0.0,57.0,0.0,0.0,0.0,57.0,57.0,706.0,1730321.0,0.0,2021,Q2 2021,57.0,0.0,0.0441,0.003294,0.040802,763.0,0.0,2021-04-01
Republic Airline,4.0,83.0,0.0,24.0,0.0,111.0,111.0,2855.0,5160977.0,598410.0,2021,Q2 2021,87.0,24.0,0.0575,0.002151,0.055319,2966.0,209.6,2021-04-01
SkyWest Airlines,0.0,84.0,0.0,2.0,0.0,86.0,86.0,3592.0,8943583.0,721849.0,2021,Q2 2021,84.0,2.0,0.0411,0.000962,0.040163,3678.0,200.96,2021-04-01
Southwest Airlines,291.0,1023.0,0.0,0.0,0.0,1314.0,1314.0,9008.0,32534837.0,0.0,2021,Q2 2021,1314.0,0.0,0.0317,0.004039,0.027687,10322.0,0.0,2021-04-01
Spirit Airlines,3.0,27.0,0.0,50.0,5.0,85.0,30.0,3131.0,7963642.0,0.0,2021,Q2 2021,30.0,55.0,0.0404,0.001067,0.039316,3216.0,0.0,2021-04-01
United Air Lines,0.0,1.0,0.0,4.0,0.0,5.0,5.0,1341.0,14619155.0,0.0,2021,Q2 2021,1.0,4.0,0.0092,3.4e-05,0.009173,1346.0,0.0,2021-04-01
Alaska Airlines,0.0,17.0,0.0,15.0,0.0,32.0,17.0,1059.0,6891202.0,350.0,2021,Q3 2021,17.0,15.0,0.0158,0.000464,0.015367,1091.0,0.33,2021-07-01
Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,3872651.0,0.0,2021,Q3 2021,0.0,0.0,0.0134,0.0,0.013402,519.0,0.0,2021-07-01
American Airlines,33.0,374.0,0.0,62.0,11.0,480.0,480.0,6008.0,31669647.0,10320.0,2021,Q3 2021,407.0,73.0,0.0205,0.001516,0.018971,6488.0,1.72,2021-07-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12292.0,30691987.0,7876961.0,2021,Q3 2021,0.0,0.0,0.04,0.0,0.04005,12292.0,640.82,2021-07-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3642.0,3824655.0,2710439.0,2021,Q3 2021,0.0,0.0,0.0952,0.0,0.095224,3642.0,744.22,2021-07-01
Envoy Air,2.0,59.0,0.0,13.0,2.0,76.0,76.0,1150.0,3628897.0,7981.0,2021,Q3 2021,61.0,15.0,0.0338,0.002094,0.03169,1226.0,6.94,2021-07-01
Frontier Airlines,0.0,421.0,12.0,186.0,0.0,619.0,616.0,1489.0,5776460.0,3845.0,2021,Q3 2021,421.0,198.0,0.0365,0.010716,0.025777,2108.0,2.58,2021-07-01
