tbl,year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2022,1,31135,"Myrtle Beach, SC",13577,MYR,57,2753500,0.9668,167.92,-0.1999,30,1824400,0.9582,144.9,-0.2727,27,929100,0.9839,213.14,-0.0766,2022113577MYR
Table 7,2022,1,34108,"Peoria, IL",14108,PIA,19,728300,0.7988,156.34,-0.2884,2,73300,0,228.5,0.1948,17,655000,0.8882,148.26,-0.3348,2022114108PIA
Table 7,2022,1,35356,"Trenton, NJ",15356,TTN,9,766000,1,96.9,-0.5229,3,108800,1,88.31,-0.5587,6,657200,1,98.32,-0.5171,2022115356TTN
Table 7,2022,1,30158,"Atlantic City, NJ",10158,ACY,7,1005900,1,99.48,-0.5145,1,61700,1,92.95,-0.5485,6,944200,1,99.91,-0.5122,2022110158ACY
Table 7,2022,1,30466,"Phoenix, AZ",10466,AZA,55,3996200,1,117.11,-0.4539,9,409800,1,92.88,-0.4868,46,3586400,1,119.88,-0.4508,2022110466AZA
Table 7,2022,1,30581,"Bangor, ME",10581,BGR,16,550800,0.5532,166.29,-0.2568,9,121200,0,178.65,-0.0113,7,429600,0.7093,162.81,-0.3098,2022110581BGR
Table 7,2021,4,30559,"Seattle, WA",14747,SEA,149,49198600,0.4446,205.67,-0.0824,29,10102000,0.3204,154.68,-0.0836,120,39096600,0.4767,218.84,-0.0822,2021414747SEA
Table 7,2021,4,31135,"Myrtle Beach, SC",13577,MYR,61,3065700,0.9487,169.87,-0.1748,33,1970900,0.962,142.23,-0.255,28,1094800,0.9246,219.64,-0.0564,2021413577MYR
Table 7,2021,4,30581,"Bangor, ME",10581,BGR,30,840100,0.2522,194.79,-0.1708,9,224700,0,183.55,0.0428,21,615400,0.3443,198.89,-0.2244,2021410581BGR
Table 7,2021,4,30466,"Phoenix, AZ",10466,AZA,53,3424200,1,108.92,-0.4884,10,434100,1,96.06,-0.4528,43,2990100,1,110.79,-0.4925,2021410466AZA
Table 7,2021,4,34108,"Peoria, IL",14108,PIA,26,789000,0.6942,157.64,-0.2755,5,132900,0,206.49,0.0838,21,656100,0.8348,147.75,-0.3377,2021414108PIA
Table 7,2022,1,31066,"Columbus, OH",12917,LCK,7,328800,1,100.9,-0.4592,2,35300,1,97.31,-0.4948,5,293500,1,101.33,-0.4547,2022112917LCK
Table 7,2022,1,30666,"Bellingham, WA",10666,BLI,13,595000,0.9867,129.77,-0.3551,,,,,,13,595000,0.9867,129.77,-0.3551,2022110666BLI
Table 7,2022,1,34761,"Sanford, FL",14761,SFB,56,4281100,1,111.21,-0.4643,15,858800,1,92.36,-0.5308,41,3422300,1,115.94,-0.4487,2022114761SFB
Table 7,2022,1,32575,"Los Angeles, CA (Metropolitan Area)",12954,LGB,141,4385500,0.9861,134.14,-0.2428,19,2630100,0.9982,117.23,-0.1992,122,1755400,0.9681,159.48,-0.2856,2022112954LGB
Table 7,2022,1,31721,"Flint, MI",11721,FNT,14,1100800,0.9322,126.1,-0.414,3,62400,0.3157,164.2,-0.171,11,1038400,0.9693,123.81,-0.4274,2022111721FNT
Table 7,2022,1,31703,"New York City, NY (Metropolitan Area)",15070,SWF,12,274700,1,101.81,-0.4709,1,100,1,154,-0.4732,11,274600,1,101.79,-0.4709,2022115070SWF
Table 7,2020,3,30666,"Bellingham, WA",10666,BLI,7,74100,0.8502,113.58,-0.2879,,,,,,7,74100,0.8502,113.58,-0.2879,2020310666BLI
Table 7,2021,4,31714,"Fort Myers, FL",14635,RSW,105,19800900,0.909,214.57,0.0601,14,1402300,0.6693,205.33,0.1584,91,18398600,0.9273,215.28,0.0536,2021414635RSW
Table 7,2021,4,30685,"Bloomington/Normal, IL",10685,BMI,18,386400,0.4803,192.22,-0.0371,4,148800,0,221.97,0.5775,14,237600,0.7811,173.59,-0.2661,2021410685BMI
Table 7,2021,4,31481,"Panama City, FL",11481,ECP,55,2048000,0.8613,213.49,0.0135,18,1012400,0.8087,182.67,-0.0328,37,1035600,0.9128,243.61,0.0504,2021411481ECP
Table 7,2021,4,31503,"Eagle, CO",11503,EGE,14,316400,0.0736,466.68,1.0678,4,92500,0,419.54,1.0402,10,223900,0.1041,486.16,1.0779,2021411503EGE
Table 7,2021,4,30529,"Hartford, CT",10529,BDL,83,10222300,0.7682,218.71,0.031,27,2200700,0.5128,190.13,0.0604,56,8021600,0.8383,226.55,0.0244,2021410529BDL
Table 7,2021,4,31504,"Valparaiso, FL",15624,VPS,66,2570600,0.8316,199.77,-0.0726,26,1218700,0.721,166.14,-0.1754,40,1351900,0.9313,230.09,0.0092,2021415624VPS
Table 7,2021,4,33105,"Cincinnati, OH",11193,CVG,86,11746600,0.7369,195.02,0,41,4281800,0.5975,178.64,0.0745,45,7464800,0.8169,204.42,-0.0336,2021411193CVG
Table 7,2021,4,34674,"Santa Fe, NM",14674,SAF,18,222500,0,268.06,0.3813,8,137900,0,231.49,0.7982,10,84600,0,327.66,0.0902,2021414674SAF
Table 7,2021,4,32575,"Los Angeles, CA (Metropolitan Area)",12892,LAX,185,78506700,0.8594,233.94,-0.0035,28,14856500,0.9518,140.81,-0.0415,157,63650200,0.8378,255.67,0.0016,2021412892LAX
Table 7,2021,4,34236,"Paso Robles/San Luis Obispo, CA",14698,SBP,19,620200,0,260.6,0.2379,4,232500,0,193.77,0.3038,15,387700,0,300.68,0.2141,2021414698SBP
Table 7,2021,4,30476,"Shreveport, LA",14814,SHV,28,619900,0.2589,242.74,0.0814,6,145000,0,231.27,0.1571,22,474900,0.338,246.24,0.0615,2021414814SHV
Table 7,2021,4,32206,"Harlingen/San Benito, TX",12206,HRL,33,1027500,0.8784,204.79,-0.041,6,399900,0.7299,162.89,-0.041,27,627600,0.9729,231.49,-0.041,2021412206HRL
Table 7,2021,4,34524,"Richmond, VA",14524,RIC,79,7308200,0.7741,207.65,-0.0519,38,3841100,0.7442,171.67,-0.0645,41,3467100,0.8072,247.51,-0.0421,2021414524RIC
Table 7,2021,4,31140,"Corpus Christi, TX",11140,CRP,33,728200,0.7356,247.13,0.1116,5,254100,0.4856,197.03,0.2118,28,474100,0.8696,273.98,0.0772,2021411140CRP
Table 7,2021,4,34574,"Roanoke, VA",14574,ROA,34,713700,0.2168,249.01,0.1505,16,433900,0.3565,195.99,0.1095,18,279800,0,331.24,0.1909,2021414574ROA
Table 7,2021,4,33038,"Laredo, TX",13061,LRD,10,176600,0.3528,209.73,0.1195,3,74300,0,219.38,0.693,7,102300,0.609,202.72,-0.1159,2021413061LRD
Table 7,2021,4,34027,"West Palm Beach/Palm Beach, FL",14027,PBI,90,12654300,0.8322,216.34,0.1482,16,1341800,0.678,202.1,0.1569,74,11312500,0.8505,218.03,0.1472,2021414027PBI
Table 7,2021,4,30397,"Atlanta, GA (Metropolitan Area)",10397,ATL,160,65143800,0.8667,195.5,0.0894,91,37582300,0.876,164.86,0.0215,69,27561500,0.8541,237.29,0.1627,2021410397ATL
Table 7,2021,4,35249,"Tallahassee, FL",15249,TLH,40,1176100,0,263.29,0.2099,11,585400,0,220.32,0.1675,29,590700,0,305.86,0.2421,2021415249TLH
Table 7,2021,4,33667,"Norfolk, VA (Metropolitan Area)",13931,ORF,93,7336700,0.7893,221.7,0.0066,46,3824000,0.6924,173.73,-0.0437,47,3512700,0.8948,273.93,0.0445,2021413931ORF
Table 7,2021,4,33342,"Milwaukee, WI",13342,MKE,87,9690000,0.7827,206.01,-0.0125,30,2475100,0.6624,187.56,-0.0264,57,7214900,0.8239,212.34,-0.0083,2021413342MKE
Table 7,2021,4,31637,"Fargo, ND",11637,FAR,40,1331400,0.5777,221.56,-0.0589,4,180000,0.5444,241.33,0.4588,36,1151400,0.5829,218.47,-0.1132,2021411637FAR
Table 7,2021,4,35323,"Bristol/Johnson City/Kingsport, TN",15323,TRI,23,323200,0.1748,249.41,0.155,14,194800,0.29,201.39,0.0521,9,128400,0,322.25,0.2729,2021415323TRI
Table 7,2021,4,30747,"Brownsville, TX",10747,BRO,12,150600,0,233.11,0.1079,3,101000,0,188.06,0.1673,9,49600,0,324.84,0.0452,2021410747BRO
Table 7,2021,4,30721,"Boston, MA (Metropolitan Area)",10721,BOS,137,50512000,0.9515,218.83,0.0266,33,12623000,0.9418,156.03,0.0165,104,37889000,0.9547,239.75,0.0288,2021410721BOS
Table 7,2021,4,33192,"Sacramento, CA",14893,SMF,103,19755600,0.9421,201.64,-0.0517,20,11120900,0.9911,143.01,-0.1184,83,8634700,0.8791,277.15,-0.0015,2021414893SMF
Table 7,2021,4,31612,"Evansville, IN",11612,EVV,25,394100,0.1297,230.69,0.0746,8,204500,0.2499,197.05,0.2384,17,189600,0,266.98,-0.0278,2021411612EVV
Table 7,2021,4,32457,"San Francisco, CA (Metropolitan Area)",14771,SFO,149,45579400,0.6272,253.98,0.0437,26,15201900,0.5828,151.06,-0.019,123,30377500,0.6495,305.49,0.0605,2021414771SFO
Table 7,2021,4,33029,"Lincoln, NE",13029,LNK,12,190100,0,208.13,0.1349,4,147200,0,187.57,0.1653,8,42900,0,278.67,0.0704,2021413029LNK
Table 7,2021,4,32280,"Idaho Falls, ID",12280,IDA,24,618600,0.3133,203,-0.0626,15,486300,0.3985,179.81,-0.1054,9,132300,0,288.26,0.0528,2021412280IDA
Table 7,2021,4,31603,"Eugene, OR",11603,EUG,47,2253400,0.6513,204.77,-0.1111,9,778700,0.474,161.86,-0.166,38,1474700,0.7449,227.43,-0.0885,2021411603EUG
Table 7,2021,4,34457,"Rapid City, SD",14457,RAP,30,721000,0.2567,225.32,0.0092,3,133500,0,209.11,0.32,27,587500,0.3151,229.01,-0.0378,2021414457RAP
Table 7,2021,4,33795,"Jacksonville/Camp Lejeune, NC",13795,OAJ,20,257500,0,257.57,-0.0076,13,161900,0,222.31,-0.0602,7,95600,0,317.29,0.0629,2021413795OAJ
Table 7,2021,4,34433,"Santa Rosa, CA",15023,STS,11,911400,0.1505,173.34,0.0349,9,884400,0.1551,168.91,0.023,2,27000,0,318.66,0.2972,2021415023STS
Table 7,2021,4,33495,"New Orleans, LA",13495,MSY,102,18420400,0.9804,191.98,-0.0451,38,7565600,0.9796,160.32,-0.1017,64,10854800,0.981,214.04,-0.0127,2021413495MSY
Table 7,2021,4,33502,"Montrose/Delta, CO",13502,MTJ,23,403000,0.7804,248.46,0.0705,8,190000,0.6653,184.27,-0.0827,15,213000,0.8831,305.71,0.1761,2021413502MTJ
Table 7,2021,4,32575,"Los Angeles, CA (Metropolitan Area)",13891,ONT,184,10642500,0.9464,200.21,-0.0291,27,3502600,0.9824,139.33,-0.0375,157,7139900,0.9288,230.07,-0.0266,2021413891ONT
Table 7,2021,4,31995,"Greensboro/High Point, NC",11995,GSO,60,2790600,0.0542,217.18,0.0289,36,1945200,0.0778,188.67,0.0393,24,845400,0,282.78,0.0133,2021411995GSO
Table 7,2021,4,30693,"Nashville, TN",10693,BNA,124,28878100,0.9538,186.12,-0.0293,68,15430800,0.9203,164.54,-0.069,56,13447300,0.9924,210.88,0.0092,2021410693BNA
Table 7,2021,4,33244,"Memphis, TN",13244,MEM,77,7668100,0.7548,206.74,-0.0003,35,3936400,0.5723,182.98,-0.034,42,3731700,0.9474,231.81,0.0297,2021413244MEM
Table 7,2021,4,30372,"Aspen, CO",10372,ASE,21,512600,0,405.29,0.9005,6,191000,0,334.26,0.7646,15,321600,0,447.47,0.9677,2021410372ASE
Table 7,2021,4,34783,"Springfield, MO",14783,SGF,44,1510300,0.3418,230.41,0.0531,10,485900,0.1099,237.74,0.4134,34,1024400,0.4518,226.93,-0.0653,2021414783SGF
Table 7,2021,4,32441,"Jackson, WY",12441,JAC,36,884600,0,341.02,0.3508,6,178600,0,245.76,0.1714,30,706000,0,365.12,0.387,2021412441JAC
Table 7,2021,4,32070,"Harrisburg, PA",13230,MDT,45,1750200,0.3301,238.77,0.072,13,578600,0.1552,242.8,0.4253,32,1171600,0.4165,236.78,-0.0475,2021413230MDT
Table 7,2021,4,34489,"Bend/Redmond, OR",14489,RDM,33,1281000,0.108,229.42,-0.0005,6,455000,0.187,180.86,-0.1148,27,826000,0.0645,256.16,0.0523,2021414489RDM
Table 7,2021,4,30140,"Albuquerque, NM",10140,ABQ,82,7665100,0.9458,222.55,0.0343,19,3253800,0.9173,180.04,0.0248,63,4411300,0.9669,253.9,0.0394,2021410140ABQ
Table 7,2021,4,33728,"Pensacola, FL",14193,PNS,69,3884500,0.7566,221.32,0.0131,26,1737200,0.6337,182.8,-0.0944,43,2147300,0.8561,252.49,0.0888,2021414193PNS
Table 7,2021,4,32323,"Wilmington, NC",12323,ILM,53,1638700,0.1138,245.17,0.1368,28,990300,0.1882,211.91,0.1466,25,648400,0,295.97,0.1264,2021412323ILM
Table 7,2021,4,31295,"Detroit, MI",11433,DTW,119,30978200,0.7161,214.82,0.1195,67,12655400,0.5319,189.51,0.2028,52,18322800,0.8433,232.3,0.0774,2021411433DTW
Table 7,2021,4,34570,"Reno, NV",14570,RNO,69,6505600,0.8681,204.52,-0.0598,18,3694600,0.8361,147.69,-0.1052,51,2811000,0.9101,279.21,-0.0255,2021414570RNO
Table 7,2021,4,30852,"Washington, DC (Metropolitan Area)",11278,DCA,161,33085500,0.5946,199.49,0.0577,67,14764900,0.5148,166.58,0.0891,94,18320600,0.659,226.01,0.0399,2021411278DCA
Table 7,2021,4,34082,"Punta Gorda, FL",14082,PGD,42,3333500,1,113.48,-0.4524,5,284100,1,90.34,-0.527,37,3049400,1,115.63,-0.4461,2021414082PGD
Table 7,2021,4,31695,"Flagstaff, AZ",11695,FLG,12,153300,0,215.41,0.1546,6,91900,0,174.79,0.1134,6,61400,0,276.21,0.1965,2021411695FLG
Table 7,2021,4,31986,"Grand Rapids, MI",11986,GRR,73,5706400,0.7607,207.31,-0.0354,29,1701900,0.3714,199.83,0.0686,44,4004500,0.9262,210.5,-0.0719,2021411986GRR
Table 7,2021,4,31453,"Houston, TX",12191,HOU,154,14795400,0.9786,176.09,-0.0644,38,5082900,0.9653,155.66,-0.0682,116,9712500,0.9855,186.78,-0.0627,2021412191HOU
Table 7,2021,4,30852,"Washington, DC (Metropolitan Area)",12264,IAD,159,16889300,0.2919,231.22,0.1233,65,5454000,0.1465,165.34,0.1173,94,11435300,0.3612,262.64,0.1252,2021412264IAD
Table 7,2021,4,31066,"Columbus, OH",11066,CMH,86,12460000,0.8434,200.66,0.028,45,5367900,0.7177,177.82,0.1146,41,7092100,0.9384,217.95,-0.019,2021411066CMH
Table 7,2021,4,33195,"Tampa, FL (Metropolitan Area)",14112,PIE,57,3659600,1,99.95,-0.4906,17,888700,1,92.24,-0.4828,40,2770900,1,102.42,-0.4927,2021414112PIE
Table 7,2021,4,31871,"Greenville/Spartanburg, SC",11996,GSP,68,3785600,0.5361,223.41,0.0666,39,2307400,0.5145,195.44,0.0444,29,1478200,0.5698,267.05,0.0932,2021411996GSP
Table 7,2021,4,33198,"Kansas City, MO",13198,MCI,101,15996900,0.8908,207.09,0.0225,31,5968900,0.7802,184.13,-0.0018,70,10028000,0.9565,220.75,0.035,2021413198MCI
Table 7,2021,4,34986,"Sarasota/Bradenton, FL",14986,SRQ,81,7114300,0.8345,187.97,-0.057,8,837100,0.8488,166.61,-0.0562,73,6277200,0.8326,190.82,-0.0571,2021414986SRQ
Table 7,2021,4,31703,"New York City, NY (Metropolitan Area)",12197,HPN,150,2990400,0.5623,229.52,0.2885,44,432500,0.015,235.16,0.3045,106,2557900,0.6548,228.57,0.2858,2021412197HPN
Table 7,2021,4,30135,"Allentown/Bethlehem/Easton, PA",10135,ABE,24,1164400,0.625,160.32,-0.2269,7,354400,0.1747,205.39,0.0693,17,810000,0.822,140.6,-0.3431,2021410135ABE
Table 7,2021,4,34614,"Salt Lake City, UT",14869,SLC,128,26723600,0.7793,219.42,0.0894,40,13043500,0.7428,168.73,0.0785,88,13680100,0.8141,267.76,0.096,2021414869SLC
Table 7,2021,4,31703,"New York City, NY (Metropolitan Area)",12391,ISP,110,1950600,0.9828,167.18,-0.0698,39,344100,0.9352,157.63,-0.0283,71,1606500,0.993,169.23,-0.0777,2021412391ISP
Table 7,2021,4,34653,"Tulsa, OK",15370,TUL,73,4418500,0.8375,211.74,-0.038,21,1732400,0.704,176.59,-0.0823,52,2686100,0.9236,234.41,-0.0148,2021415370TUL
Table 7,2021,4,31703,"New York City, NY (Metropolitan Area)",11618,EWR,170,51617300,0.7299,205.93,0.0066,50,8840900,0.5033,166.44,0.1548,120,42776400,0.7768,214.09,-0.0137,2021411618EWR
Table 7,2021,4,31123,"St. Louis, MO",15016,STL,99,17687400,0.9198,191.34,-0.012,46,7268000,0.8554,169,-0.0509,53,10419400,0.9647,206.91,0.0116,2021415016STL
Table 7,2021,4,31453,"Houston, TX",12266,IAH,157,36018300,0.6835,204.71,0.0474,40,6753100,0.5356,172.57,0.0646,117,29265200,0.7177,212.12,0.0442,2021412266IAH
Table 7,2021,4,30158,"Atlantic City, NJ",10158,ACY,7,640300,1,101.57,-0.4868,1,39100,1,84.57,-0.5526,6,601200,1,102.68,-0.4827,2021410158ACY
Table 7,2021,4,34057,"Portland, OR",14057,PDX,111,23778800,0.6932,220.21,0.0251,17,5010100,0.3698,169.48,0.1036,94,18768700,0.7796,233.75,0.0112,2021414057PDX
Table 7,2021,4,33264,"Medford, OR",13264,MFR,39,1340200,0.2692,216.25,-0.0794,14,772500,0.4452,168.67,-0.1314,25,567700,0.0298,280.99,-0.032,2021413264MFR
Table 7,2021,4,33277,"Montgomery, AL",13277,MGM,14,175200,0,253.35,0.2179,5,119800,0,234.79,0.269,9,55400,0,293.5,0.1386,2021413277MGM
Table 7,2021,4,33316,"Omaha, NE",13871,OMA,86,7529800,0.8721,204.89,-0.0184,19,1999900,0.641,168.96,-0.0618,67,5529900,0.9557,217.89,-0.0055,2021413871OMA
Table 7,2021,4,31146,"Charleston/Dunbar, WV",11146,CRW,19,238300,0.175,251.22,0.1122,8,140800,0.2962,206.37,0.0736,11,97500,0,315.99,0.1512,2021411146CRW
Table 7,2021,4,31638,"Fresno, CA",11638,FAT,56,3162600,0.6797,221.35,-0.031,13,1463300,0.5857,160.17,-0.0063,43,1699300,0.7607,274.04,-0.0429,2021411638FAT
Table 7,2021,4,31921,"Grand Junction, CO",11921,GJT,29,559500,0.2565,234.41,0.0534,11,283300,0.4794,193.44,-0.0355,18,276200,0.0279,276.44,0.1281,2021411921GJT
Table 7,2021,4,30792,"Buffalo, NY",10792,BUF,66,6550100,0.8282,196.88,-0.0181,30,2942600,0.6685,169.8,0.0666,36,3607500,0.9584,218.98,-0.0651,2021410792BUF
Table 7,2021,4,30198,"Pittsburgh, PA",14122,PIT,96,13668300,0.8212,202.8,0.0119,42,5567500,0.6847,174.54,0.0378,54,8100800,0.915,222.23,-0.0016,2021414122PIT
Table 7,2021,4,30285,"Durango, CO",11413,DRO,22,355800,0.2555,280.98,0.5768,8,212500,0.4278,258.43,1.122,14,143300,0,314.42,0.2008,2021411413DRO
Table 7,2021,4,33195,"Tampa, FL (Metropolitan Area)",15304,TPA,141,35892500,0.9023,182.34,-0.0653,35,6435200,0.7491,156.04,-0.0973,106,29457300,0.9358,188.09,-0.0592,2021415304TPA
Table 7,2021,4,31252,"Daytona Beach, FL",11252,DAB,28,587100,0,245.38,0.1238,6,205100,0,223.34,0.2637,22,382000,0,257.22,0.0686,2021411252DAB
Table 7,2021,4,31641,"Fayetteville, NC",11641,FAY,19,291200,0,248.59,0.1229,9,129800,0,204.68,0.1978,10,161400,0,283.9,0.0836,2021411641FAY
Table 7,2021,4,31982,"Killeen, TX",11982,GRK,12,98400,0,247.89,-0.0456,,,,,,12,98400,0,247.89,-0.0456,2021411982GRK
Table 7,2021,4,30721,"Boston, MA (Metropolitan Area)",13296,MHT,135,2420100,0.8296,221.68,0.1089,33,743300,0.6232,196.6,0.1646,102,1676800,0.9212,232.8,0.0894,2021413296MHT
Table 7,2021,4,32575,"Los Angeles, CA (Metropolitan Area)",10800,BUR,183,10271200,0.9649,165.37,-0.0605,27,5727200,0.9939,127.03,-0.0742,156,4544000,0.9283,213.68,-0.05,2021410800BUR
Table 7,2021,4,34262,"Palm Springs, CA",14262,PSP,59,5158500,0.5706,235.64,0.0675,9,1281500,0.6282,168.2,0.0451,50,3877000,0.5515,257.93,0.0724,2021414262PSP
Table 7,2021,4,32467,"Miami, FL (Metropolitan Area)",11697,FLL,157,35979700,0.9636,179.03,-0.1121,32,5240300,0.9211,142.42,-0.1684,125,30739400,0.9709,185.27,-0.1042,2021411697FLL
Table 7,2021,4,30781,"Baton Rouge, LA",10781,BTR,35,770000,0,254.78,0.1895,10,443100,0,228,0.2628,25,326900,0,291.08,0.1204,2021410781BTR
Table 7,2021,4,30431,"Asheville, NC",10431,AVL,51,2260600,0.6009,189.9,-0.0457,27,1552700,0.6458,154.96,-0.119,24,707900,0.5025,266.54,0.0675,2021410431AVL
Table 7,2021,4,30157,"Eureka/Arcata, CA",10157,ACV,10,267500,0.2968,176.51,-0.0855,8,206800,0.384,168.78,-0.1144,2,60700,0,202.83,0.0074,2021410157ACV
Table 7,2021,4,31721,"Flint, MI",11721,FNT,13,717500,0.8017,129.82,-0.3899,2,82000,0,166.78,-0.0716,11,635500,0.9051,125.05,-0.4239,2021411721FNT
Table 7,2021,4,32951,"Lafayette, LA",12951,LFT,31,530800,0,264.19,0.1542,7,246900,0,231.94,0.2796,24,283900,0,292.25,0.0811,2021412951LFT
Table 7,2021,4,32945,"Lexington, KY",12945,LEX,49,1586500,0.2296,235.89,0.1093,21,788400,0.2127,199.4,0.1188,28,798100,0.2462,271.93,0.1025,2021412945LEX
Table 7,2021,4,34922,"Salinas/Monterey, CA",13476,MRY,19,599600,0.0919,221.15,0.0729,8,402500,0.1369,175.06,0.068,11,197100,0,315.28,0.0785,2021413476MRY
Table 7,2021,4,33360,"Melbourne, FL",13360,MLB,18,320600,0.0652,219.35,-0.002,3,169700,0.1232,203.31,0.0461,15,150900,0,237.38,-0.0444,2021413360MLB
Table 7,2021,4,32124,"Hilton Head, SC",12124,HHH,13,162000,0,206.43,0.1378,10,134300,0,200.04,0.1533,3,27700,0,237.36,0.0787,2021412124HHH
Table 7,2021,4,32397,"Ithaca/Cortland, NY",12397,ITH,7,67900,0,355.41,0.0558,1,22300,0,213.93,-0.1157,6,45600,0,424.6,0.1088,2021412397ITH
Table 7,2021,4,30785,"Burlington, VT",10785,BTV,42,1698500,0.5508,271.08,0.2228,9,510400,0.2716,206.37,0.5684,33,1188100,0.6707,298.88,0.1478,2021410785BTV
Table 7,2021,4,30194,"Dallas/Fort Worth, TX",11298,DFW,186,53690800,0.498,205.77,0.0854,66,12894300,0.3168,180.04,0.0788,120,40796500,0.5553,213.9,0.0871,2021411298DFW
Table 7,2021,4,30194,"Dallas/Fort Worth, TX",11259,DAL,146,19507500,0.9963,172.84,-0.0416,40,7948400,0.9991,155.08,-0.038,106,11559100,0.9943,185.05,-0.0436,2021411259DAL
Table 7,2021,4,30208,"Augusta, GA",10208,AGS,31,590900,0,255.28,0.095,14,308600,0,221.88,0.0212,17,282300,0,291.79,0.165,2021410208AGS
Table 7,2021,4,33367,"Quad Cities, IL (Metropolitan Area)",13367,MLI,36,751900,0.3876,195.07,-0.1193,7,186000,0,218.66,0.2153,29,565900,0.5149,187.31,-0.2035,2021413367MLI
Table 7,2021,4,34576,"Rochester, NY",14576,ROC,62,3742500,0.6768,206.99,0.0324,26,1841700,0.5195,168.86,0.1828,36,1900800,0.8292,243.92,-0.0487,2021414576ROC
Table 7,2021,4,31454,"Orlando, FL",13204,MCO,156,65851900,0.9556,185.24,-0.0594,37,8984700,0.8782,167.52,-0.0366,119,56867200,0.9678,188.03,-0.0625,2021413204MCO
Table 7,2021,4,32575,"Los Angeles, CA (Metropolitan Area)",12954,LGB,153,4655800,0.9775,141.47,-0.2052,21,2798100,0.9951,118.91,-0.1881,132,1857700,0.951,175.46,-0.2219,2021412954LGB
Table 7,2021,4,30627,"Bismarck/Mandan, ND",10627,BIS,17,512700,0.5251,191.27,-0.0785,2,106700,0,222.66,0.6525,15,406000,0.663,183.02,-0.1927,2021410627BIS
Table 7,2021,4,32600,"Little Rock, AR",12992,LIT,66,3215600,0.8109,220.04,0.0023,25,1391600,0.6778,187.81,-0.0328,41,1824000,0.9124,244.63,0.0241,2021412992LIT
Table 7,2021,4,30436,"Tucson, AZ",15376,TUS,83,6010900,0.8004,242.73,0.0371,12,1597700,1,175.5,0.0246,71,4413200,0.7281,267.07,0.0401,2021415376TUS
Table 7,2021,4,33486,"Missoula, MT",13486,MSO,35,974300,0.1898,250.42,0.0485,6,363300,0.1869,220.94,0.1206,29,611000,0.1915,267.94,0.0165,2021413486MSO
Table 7,2021,4,30562,"Mobile, AL",13422,MOB,30,521500,0,265.8,0.3058,6,206100,0,230.23,0.839,24,315400,0,289.05,0.1346,2021413422MOB
Table 7,2021,4,33158,"Midland/Odessa, TX",13158,MAF,38,1727400,0.726,210.52,0.1146,12,1145900,0.614,176.3,0.0871,26,581500,0.9467,277.95,0.151,2021413158MAF
Table 7,2021,4,30928,"Wichita, KS",12278,ICT,53,2213000,0.7422,222.75,0.0171,13,697300,0.4294,204.47,0.1358,40,1515700,0.8861,231.16,-0.0244,2021412278ICT
Table 7,2021,4,33214,"San Antonio, TX",14683,SAT,116,15713400,0.8858,212.99,0.0126,23,2564200,0.7914,174.62,-0.094,93,13149200,0.9042,220.47,0.0313,2021414683SAT
Table 7,2021,4,30647,"Cleveland, OH (Metropolitan Area)",11042,CLE,92,13358400,0.8198,189.79,-0.0374,42,5620600,0.6573,165.89,-0.001,50,7737800,0.9378,207.14,-0.0574,2021411042CLE
Table 7,2021,4,33570,"San Diego, CA",14679,SAN,132,35020000,0.8867,227.2,0.0283,21,10761600,0.957,153.86,-0.0393,111,24258400,0.8555,259.73,0.0477,2021414679SAN
Table 7,2021,4,31895,"Great Falls, MT",12003,GTF,11,225800,0.4495,193.34,0.0664,3,88800,0,234.59,0.6206,8,137000,0.7409,166.6,-0.1872,2021412003GTF
Table 7,2021,4,35380,"Traverse City, MI",15380,TVC,32,588500,0.2722,235.06,-0.0543,12,164800,0,215.69,0.0261,20,423700,0.3781,242.6,-0.0793,2021415380TVC
Table 7,2021,4,31703,"New York City, NY (Metropolitan Area)",15070,SWF,12,276100,1,96.18,-0.501,1,34100,1,83.31,-0.5178,11,242000,1,97.99,-0.4989,2021415070SWF
Table 7,2021,4,31650,"Minneapolis/St. Paul, MN",13487,MSP,139,34916900,0.8089,197.33,0.0088,42,7948300,0.6214,182.55,0.1209,97,26968600,0.8641,201.69,-0.0174,2021413487MSP
Table 7,2021,4,33851,"Oklahoma City, OK",13851,OKC,87,6752100,0.882,214.45,-0.0227,23,2128100,0.7606,172.12,-0.1232,64,4624000,0.9379,233.92,0.0167,2021413851OKC
Table 7,2021,4,31267,"Dayton, OH",11267,DAY,53,1721000,0.0595,223.86,-0.0311,22,752000,0,202.17,0.0027,31,969000,0.1057,240.69,-0.0519,2021411267DAY
Table 7,2021,4,34699,"Steamboat Springs, CO",12094,HDN,22,320600,0.7171,291.46,0.5219,1,33100,1,138.65,-0.0192,21,287500,0.6845,309.06,0.5666,2021412094HDN
Table 7,2021,4,34321,"Portland, ME",14321,PWM,60,3071200,0.5976,228.59,0.0374,17,1057000,0.404,186.53,0.1961,43,2014200,0.6993,250.67,-0.0137,2021414321PWM
