tbl,year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2014,3,31423,"Des Moines, IA",11423,DSM,63,4087700,0.7134,235.94,-0.0136,15,1152200,0.6298,233.15,0.1273,48,2935500,0.7461,237.03,-0.0589,2014311423DSM
Table 7,2003,3,31871,"Greenville/Spartanburg, SC",11996,GSP,52,1648400,0,251.83,0.3875,27,1025900,0,237.79,0.3976,25,622500,0,274.99,0.3734,2003311996GSP
Table 7,2018,3,31057,"Charlotte, NC",11057,CLT,133,26938600,0.463,248.06,0.2512,86,17933700,0.3826,227.98,0.2677,47,9004900,0.6232,288.06,0.226,2018311057CLT
Table 7,2002,3,30436,"Tucson, AZ",15376,TUS,69,5133700,0.6258,149.35,-0.1073,12,1935100,0.8843,89.59,-0.3508,57,3198600,0.4694,185.51,0.0026,2002315376TUS
Table 7,2006,3,30852,"Washington, DC (Metropolitan Area)",11278,DCA,178,29120600,0.3408,202.97,0.2747,79,15184300,0.2466,186.66,0.5306,99,13936300,0.4435,220.75,0.1046,2006311278DCA
Table 7,1998,2,31898,"Grand Forks, ND",11898,GFK,7,78200,0,220.55,0.4697,1,37200,0,192.05,3.1387,6,41000,0,246.4,0.0094,1998211898GFK
Table 7,2002,1,30424,"Wausau/Mosinee/Stevens Point, WI",11203,CWA,15,141400,0,218.36,0.0341,,,,,,15,141400,0,218.36,0.0341,2002111203CWA
Table 7,2015,1,31295,"Detroit, MI",11433,DTW,116,28546100,0.8165,238.71,0.0911,66,10553100,0.6706,255.19,0.3396,50,17993000,0.9021,229.04,-0.0269,2015111433DTW
Table 7,2004,1,33044,"Louisville, KY",14730,SDF,76,5633400,0.6627,169.66,-0.0659,44,3601800,0.6455,162.41,-0.0471,32,2031600,0.6932,182.51,-0.0943,2004114730SDF
Table 7,2011,4,30285,"Durango, CO",11413,DRO,20,366800,0.6696,238.98,0.3729,9,248800,0.7737,225.2,0.7308,11,118000,0.45,268.05,0.0049,2011411413DRO
Table 7,2021,2,31721,"Flint, MI",11721,FNT,11,589700,0.8247,117.69,-0.3803,3,115400,0.364,139.24,-0.2181,8,474300,0.9368,112.45,-0.4168,2021211721FNT
Table 7,1999,1,34057,"Portland, OR",14057,PDX,99,16195000,0.6431,165.76,-0.1411,25,5627100,0.661,101.45,-0.2621,74,10567900,0.6335,200.01,-0.1013,1999114057PDX
Table 7,2015,1,30627,"Bismarck/Mandan, ND",10627,BIS,21,690100,0,228.09,-0.0185,4,131500,0,329.26,0.9236,17,558600,0,204.27,-0.1723,2015110627BIS
Table 7,2013,4,33316,"Omaha, NE",13871,OMA,80,7622200,0.8404,211.8,-0.0362,20,2631100,0.6542,177.13,-0.0633,60,4991100,0.9386,230.08,-0.0247,2013413871OMA
Table 7,1999,2,32467,"Miami, FL (Metropolitan Area)",13303,MIA,141,20379300,0.1336,184.48,-0.0649,32,3612700,0.5491,138.45,-0.0842,109,16766600,0.0441,194.4,-0.0618,1999213303MIA
Table 7,2015,2,30747,"Brownsville, TX",10747,BRO,16,229100,0,227.57,-0.1032,3,103500,0,189.71,-0.0936,13,125600,0,258.76,-0.1089,2015210747BRO
Table 7,2018,3,34696,"South Bend, IN",14696,SBN,40,1134500,0.3529,216.42,-0.0837,13,395100,0,259.08,0.3143,27,739400,0.5415,193.63,-0.2468,2018314696SBN
Table 7,2012,2,30372,"Aspen, CO",10372,ASE,23,290000,0.5207,383.62,0.6387,7,106800,0.617,293.98,0.3585,16,183200,0.4645,435.87,0.7833,2012210372ASE
Table 7,2011,2,31337,"Duluth, MN",11337,DLH,8,186500,0,188.17,-0.1674,2,43300,0,135.34,-0.3376,6,143200,0,204.14,-0.1221,2011211337DLH
Table 7,1996,1,32884,"Lansing, MI",12884,LAN,39,869200,0,165.58,-0.1536,20,354500,0,156.22,-0.1095,19,514700,0,172.04,-0.179,1996112884LAN
Table 7,1997,3,33044,"Louisville, KY",14730,SDF,81,6882600,0.5703,139.15,-0.1711,50,4846200,0.5128,129.72,-0.1603,31,2036400,0.7072,161.61,-0.1909,1997314730SDF
Table 7,2021,2,31638,"Fresno, CA",11638,FAT,51,2930000,0.6379,205.09,-0.0372,10,1306600,0.5153,149.48,-0.0441,41,1623400,0.7366,249.85,-0.0338,2021211638FAT
Table 7,1998,1,34100,"Philadelphia, PA",14100,PHL,132,22779700,0.1333,243.67,0.3325,67,10821100,0.2699,218.06,0.5793,65,11958600,0.0097,266.84,0.1945,1998114100PHL
Table 7,2018,1,33495,"New Orleans, LA",13495,MSY,110,22747500,0.93,205.72,-0.0362,42,8543200,0.8727,184.3,-0.058,68,14204300,0.9645,218.6,-0.0248,2018113495MSY
Table 7,2021,3,30721,"Boston, MA (Metropolitan Area)",10721,BOS,148,48822500,0.9299,234.98,0.105,35,10560200,0.8701,184.15,0.2337,113,38262300,0.9464,249.01,0.082,2021310721BOS
Table 7,1997,4,35041,"Sun Valley/Hailey/Ketchum, ID",15041,SUN,7,85800,0,163.29,-0.1958,7,85800,0,163.29,-0.1958,,,,,,1997415041SUN
Table 7,2005,3,31641,"Fayetteville, NC",11641,FAY,21,199000,0,228.32,0.1897,15,156900,0,206.7,0.1938,6,42100,0,308.89,0.1796,2005311641FAY
Table 7,2003,2,30852,"Washington, DC (Metropolitan Area)",15715,WAS,10,2800,0.0714,257.32,-0.0134,,,,,,10,2800,0.0714,257.32,-0.0134,2003215715WAS
Table 7,2002,4,34574,"Roanoke, VA",14574,ROA,26,466700,0,215.8,0.1348,14,265300,0,201.85,0.146,12,201400,0,234.17,0.1223,2002414574ROA
Table 7,2007,3,30529,"Hartford, CT",10529,BDL,90,12850600,0.6869,197.52,0.0432,30,3346600,0.5621,169.51,0.1268,60,9504000,0.7309,207.38,0.0214,2007310529BDL
Table 7,2021,1,30685,"Bloomington/Normal, IL",10685,BMI,8,179500,0.6195,146.82,-0.1495,2,44700,0,215.44,0.4842,6,134800,0.8249,124.07,-0.3174,2021110685BMI
Table 7,2007,3,31140,"Corpus Christi, TX",11140,CRP,38,1086400,0.7043,182.4,-0.0296,8,599900,0.7548,130.97,-0.122,30,486500,0.6421,245.81,0.0425,2007311140CRP
Table 7,2003,4,33570,"San Diego, CA",14679,SAN,120,29594300,0.7594,164.48,-0.0618,16,11205800,0.926,101.66,-0.2328,104,18388500,0.6578,202.77,0.0067,2003414679SAN
Table 7,2004,2,35412,"Knoxville, TN",15412,TYS,57,2053600,0,215.37,0.1208,32,1226100,0,201.96,0.0578,25,827500,0,235.24,0.2127,2004215412TYS
