,CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,date
1,Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,3197140.0,0.0,2020,Q1 2020,0.0,0.0,0.0085,0.0,0.0085,2020-01-01
2,American Airlines,8.0,198.0,0.0,256.0,3.0,465.0,462.0,6127.0,27440927.0,0.0,2020,Q1 2020,206.0,259.0,0.024,0.0017,0.0223,2020-01-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16399.0,27870231.0,0.0,2020,Q1 2020,0.0,0.0,0.0588,0.0,0.0588,2020-01-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775.0,2964249.0,0.0,2020,Q1 2020,0.0,0.0,0.12739999999999999,0.0,0.12739999999999999,2020-01-01
5,Envoy Air,1.0,39.0,0.0,241.0,0.0,281.0,281.0,1895.0,2863191.0,0.0,2020,Q1 2020,40.0,241.0,0.076,0.0098,0.06620000000000001,2020-01-01
6,ExpressJet Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0,1239445.0,0.0,2020,Q1 2020,0.0,0.0,0.054,0.0,0.054,2020-01-01
7,Frontier Airlines,0.0,58.0,0.0,26.0,12.0,96.0,29.0,481.0,4685687.0,943.0,2020,Q1 2020,58.0,38.0,0.0123,0.002,0.0103,2020-01-01
8,Hawaiian Airlines,0.0,1.0,0.0,0.0,0.0,1.0,1.0,125.0,2185709.0,2000.0,2020,Q1 2020,1.0,0.0,0.0058,0.0,0.0057,2020-01-01
9,JetBlue Airways,0.0,0.0,0.0,2.0,0.0,2.0,0.0,250.0,7303799.0,137640.0,2020,Q1 2020,0.0,2.0,0.0034999999999999996,0.0,0.0034,2020-01-01
10,Mesa Airlines,0.0,10.0,0.0,8.0,0.0,18.0,18.0,962.0,2681520.0,0.0,2020,Q1 2020,10.0,8.0,0.0365,0.0007,0.0359,2020-01-01
11,PSA Airlines,3.0,83.0,0.0,118.0,0.0,204.0,204.0,1291.0,3039515.0,0.0,2020,Q1 2020,86.0,118.0,0.0492,0.0067,0.042499999999999996,2020-01-01
12,Republic Airways,1.0,57.0,0.0,27.0,0.0,85.0,85.0,1101.0,3098354.0,0.0,2020,Q1 2020,58.0,27.0,0.0383,0.0026999999999999997,0.035500000000000004,2020-01-01
13,SkyWest Airlines,4.0,55.0,0.0,151.0,1.0,211.0,206.0,9991.0,8355310.0,0.0,2020,Q1 2020,59.0,152.0,0.12210000000000001,0.0025,0.1196,2020-01-01
14,Southwest Airlines,29.0,83.0,0.0,0.0,0.0,112.0,112.0,2355.0,29539107.0,0.0,2020,Q1 2020,112.0,0.0,0.0084,0.00039999999999999996,0.008,2020-01-01
15,Spirit Airlines,1.0,27.0,2.0,34.0,0.0,64.0,28.0,3585.0,7195275.0,0.0,2020,Q1 2020,28.0,36.0,0.050699999999999995,0.0009,0.0498,2020-01-01
16,United Air Lines,0.0,0.0,0.0,0.0,7.0,7.0,0.0,2842.0,18412040.0,0.0,2020,Q1 2020,0.0,7.0,0.0155,0.0,0.0154,2020-01-01
0,Alaska Airlines Codeshare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,916543.0,0.0,2020,Q2 2020,0.0,0.0,0.004699999999999999,0.0,0.004699999999999999,2020-04-01
1,Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1296542.0,0.0,2020,Q2 2020,0.0,0.0,0.0012000000000000001,0.0,0.0012000000000000001,2020-04-01
2,American Airlines,11.0,68.0,0.0,6.0,0.0,85.0,85.0,647.0,5369982.0,0.0,2020,Q2 2020,79.0,6.0,0.0136,0.0015999999999999999,0.012,2020-04-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.0,2956649.0,0.0,2020,Q2 2020,0.0,0.0,0.0523,0.0,0.0523,2020-04-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,404077.0,0.0,2020,Q2 2020,0.0,0.0,0.0686,0.0,0.0686,2020-04-01
5,Envoy Air,5.0,17.0,0.0,4.0,0.0,26.0,26.0,190.0,847305.0,0.0,2020,Q2 2020,22.0,4.0,0.025500000000000002,0.0031000000000000003,0.0224,2020-04-01
6,ExpressJet Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,115481.0,0.0,2020,Q2 2020,0.0,0.0,0.0043,0.0,0.0043,2020-04-01
7,Frontier Airlines,0.0,40.0,0.0,0.0,5.0,45.0,24.0,170.0,690113.0,149.0,2020,Q2 2020,40.0,5.0,0.0312,0.0065,0.0246,2020-04-01
8,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,176278.0,0.0,2020,Q2 2020,0.0,0.0,0.017,0.0,0.017,2020-04-01
9,JetBlue Airways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,583894.0,19800.0,2020,Q2 2020,0.0,0.0,0.005,0.0,0.005,2020-04-01
10,Mesa Airlines,1.0,11.0,0.0,0.0,0.0,12.0,12.0,95.0,536745.0,0.0,2020,Q2 2020,12.0,0.0,0.0199,0.0022,0.0177,2020-04-01
11,PSA Airlines,0.0,39.0,0.0,0.0,0.0,39.0,39.0,226.0,852181.0,0.0,2020,Q2 2020,39.0,0.0,0.031100000000000003,0.0046,0.0265,2020-04-01
12,Republic Airways,2.0,17.0,0.0,2.0,0.0,21.0,21.0,81.0,592187.0,0.0,2020,Q2 2020,19.0,2.0,0.0172,0.0034999999999999996,0.0137,2020-04-01
13,SkyWest Airlines,4.0,28.0,0.0,0.0,4.0,36.0,32.0,464.0,1642807.0,0.0,2020,Q2 2020,32.0,4.0,0.030400000000000003,0.0022,0.028200000000000003,2020-04-01
14,Southwest Airlines,48.0,62.0,0.0,0.0,0.0,110.0,110.0,1108.0,7058890.0,0.0,2020,Q2 2020,110.0,0.0,0.0173,0.0015999999999999999,0.0157,2020-04-01
15,Spirit Airlines,0.0,2.0,0.0,0.0,0.0,2.0,2.0,80.0,871869.0,0.0,2020,Q2 2020,2.0,0.0,0.009399999999999999,0.00019999999999999998,0.0092,2020-04-01
16,United Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1333318.0,0.0,2020,Q2 2020,0.0,0.0,0.0006000000000000001,0.0,0.0006000000000000001,2020-04-01
0,Alaska Airlines Codeshare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110763.0,0.0,2020,Q3 2020,0.0,0.0,0.0,0.0,0.0,2020-07-01
1,Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2036795.0,0.0,2020,Q3 2020,0.0,0.0,0.0005,0.0,0.0005,2020-07-01
2,American Airlines,14.0,558.0,0.0,65.0,1.0,638.0,637.0,2899.0,13703995.0,0.0,2020,Q3 2020,572.0,66.0,0.025799999999999997,0.004699999999999999,0.0212,2020-07-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,9298752.0,0.0,2020,Q3 2020,0.0,0.0,0.0068,0.0,0.0068,2020-07-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1550894.0,0.0,2020,Q3 2020,0.0,0.0,0.005,0.0,0.005,2020-07-01
5,Envoy Air,9.0,70.0,0.0,53.0,0.0,132.0,132.0,747.0,1994013.0,0.0,2020,Q3 2020,79.0,53.0,0.0441,0.006600000000000001,0.0375,2020-07-01
6,ExpressJet Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227234.0,0.0,2020,Q3 2020,0.0,0.0,0.0053,0.0,0.0053,2020-07-01
7,Frontier Airlines,0.0,54.0,1.0,0.0,9.0,64.0,23.0,256.0,2508125.0,1150.0,2020,Q3 2020,54.0,10.0,0.012799999999999999,0.0026,0.0102,2020-07-01
8,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,320241.0,0.0,2020,Q3 2020,0.0,0.0,0.0044,0.0,0.0044,2020-07-01
9,JetBlue Airways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1433931.0,5800.0,2020,Q3 2020,0.0,0.0,0.0006000000000000001,0.0,0.0006000000000000001,2020-07-01
10,Mesa Airlines,0.0,12.0,0.0,0.0,0.0,12.0,12.0,226.0,1390249.0,0.0,2020,Q3 2020,12.0,0.0,0.0171,0.0009,0.016300000000000002,2020-07-01
11,PSA Airlines,5.0,67.0,0.0,1.0,0.0,73.0,73.0,625.0,1961845.0,0.0,2020,Q3 2020,72.0,1.0,0.0356,0.0036999999999999997,0.0319,2020-07-01
12,Republic Airways,0.0,49.0,0.0,13.0,0.0,62.0,62.0,303.0,1865200.0,0.0,2020,Q3 2020,49.0,13.0,0.0196,0.0033000000000000004,0.0162,2020-07-01
13,SkyWest Airlines,1.0,30.0,0.0,2.0,0.0,33.0,33.0,1069.0,4650686.0,0.0,2020,Q3 2020,31.0,2.0,0.0237,0.0007,0.023,2020-07-01
14,Southwest Airlines,25.0,123.0,0.0,0.0,0.0,148.0,148.0,937.0,15080946.0,0.0,2020,Q3 2020,148.0,0.0,0.0072,0.001,0.006200000000000001,2020-07-01
15,Spirit Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,4483592.0,0.0,2020,Q3 2020,0.0,0.0,0.0051,0.0,0.0051,2020-07-01
16,United Air Lines,0.0,8.0,0.0,0.0,0.0,8.0,8.0,76.0,5211611.0,0.0,2020,Q3 2020,8.0,0.0,0.0015999999999999999,0.00019999999999999998,0.0015,2020-07-01
0,Alaska Airlines Codeshare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2247354.0,0.0,2020,Q4 2020,0.0,0.0,0.0,0.0,0.0,2020-10-01
1,Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2180397.0,0.0,2020,Q4 2020,0.0,0.0,0.00030000000000000003,0.0,0.00030000000000000003,2020-10-01
2,American Airlines,0.0,8.0,0.0,20.0,0.0,28.0,28.0,591.0,14695523.0,0.0,2020,Q4 2020,8.0,20.0,0.0042,0.00019999999999999998,0.004,2020-10-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,11484571.0,0.0,2020,Q4 2020,0.0,0.0,0.005,0.0,0.005,2020-10-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,2013531.0,0.0,2020,Q4 2020,0.0,0.0,0.0116,0.0,0.0116,2020-10-01
5,Envoy Air,2.0,14.0,0.0,14.0,0.0,30.0,30.0,408.0,2164410.0,0.0,2020,Q4 2020,16.0,14.0,0.0202,0.0014,0.0189,2020-10-01
6,Frontier Airlines,0.0,43.0,0.0,0.0,8.0,51.0,23.0,167.0,2619595.0,876.0,2020,Q4 2020,43.0,8.0,0.0083,0.0019000000000000002,0.0063999999999999994,2020-10-01
7,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,469717.0,0.0,2020,Q4 2020,0.0,0.0,0.0017,0.0,0.0017,2020-10-01
8,JetBlue Airways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2560789.0,24950.0,2020,Q4 2020,0.0,0.0,0.0024000000000000002,0.0,0.0024000000000000002,2020-10-01
9,Mesa Airlines,0.0,1.0,0.0,2.0,0.0,3.0,3.0,170.0,1769553.0,0.0,2020,Q4 2020,1.0,2.0,0.0098,0.00019999999999999998,0.009600000000000001,2020-10-01
10,PSA Airlines,0.0,6.0,0.0,13.0,0.0,19.0,19.0,360.0,2083641.0,0.0,2020,Q4 2020,6.0,13.0,0.0182,0.0009,0.0173,2020-10-01
11,Republic Airways,1.0,2.0,0.0,18.0,0.0,21.0,21.0,217.0,2613252.0,0.0,2020,Q4 2020,3.0,18.0,0.0091,0.0007999999999999999,0.0083,2020-10-01
12,SkyWest Airlines,0.0,5.0,0.0,0.0,0.0,5.0,5.0,720.0,5122330.0,0.0,2020,Q4 2020,5.0,0.0,0.0142,9.999999999999999e-05,0.014100000000000001,2020-10-01
13,Southwest Airlines,13.0,15.0,0.0,0.0,0.0,28.0,28.0,487.0,16011098.0,0.0,2020,Q4 2020,28.0,0.0,0.0031999999999999997,0.00019999999999999998,0.003,2020-10-01
14,Spirit Airlines,0.0,12.0,0.0,87.0,0.0,99.0,12.0,685.0,5010558.0,0.0,2020,Q4 2020,12.0,87.0,0.0156,0.002,0.0137,2020-10-01
15,United Air Lines,0.0,5.0,0.0,0.0,0.0,5.0,5.0,289.0,8860807.0,0.0,2020,Q4 2020,5.0,0.0,0.0033000000000000004,9.999999999999999e-05,0.0033000000000000004,2020-10-01
0,Alaska Airlines,0.0,1.0,0.0,1.0,0.0,2.0,1.0,117.0,3007066.0,0.0,2021,Q1 2021,1.0,1.0,0.004,9.999999999999999e-05,0.0039,2021-01-01
1,Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2322946.0,0.0,2021,Q1 2021,0.0,0.0,9.999999999999999e-05,0.0,9.999999999999999e-05,2021-01-01
2,American Airlines,7.0,66.0,0.0,7.0,0.0,80.0,80.0,1453.0,14719488.0,0.0,2021,Q1 2021,73.0,7.0,0.0104,0.0005,0.009899999999999999,2021-01-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.0,12861197.0,950300.0,2021,Q1 2021,0.0,0.0,0.010799999999999999,0.0,0.010799999999999999,2021-01-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,1940986.0,239500.0,2021,Q1 2021,0.0,0.0,0.019799999999999998,0.0,0.019799999999999998,2021-01-01
5,Envoy Air,1.0,22.0,0.0,9.0,0.0,32.0,32.0,849.0,2172455.0,0.0,2021,Q1 2021,23.0,9.0,0.0406,0.0015,0.0391,2021-01-01
6,Frontier Airlines,0.0,129.0,12.0,82.0,0.0,223.0,129.0,626.0,4812979.0,0.0,2021,Q1 2021,129.0,94.0,0.0176,0.0046,0.013,2021-01-01
7,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,727796.0,0.0,2021,Q1 2021,0.0,0.0,0.00039999999999999996,0.0,0.00039999999999999996,2021-01-01
8,JetBlue Airways,0.0,2.0,2.0,12.0,0.0,16.0,14.0,81.0,3875067.0,32693.0,2021,Q1 2021,2.0,14.0,0.0025,0.00039999999999999996,0.0021,2021-01-01
9,Mesa Airlines,1.0,5.0,0.0,0.0,0.0,6.0,6.0,359.0,1625143.0,0.0,2021,Q1 2021,6.0,0.0,0.0225,0.00039999999999999996,0.0221,2021-01-01
10,PSA Airlines,0.0,8.0,0.0,0.0,0.0,8.0,8.0,599.0,1922953.0,0.0,2021,Q1 2021,8.0,0.0,0.031599999999999996,0.00039999999999999996,0.0312,2021-01-01
11,Horizon Air,0.0,15.0,0.0,0.0,0.0,15.0,15.0,126.0,1111080.0,0.0,2021,Q1 2021,15.0,0.0,0.0127,0.0014,0.0113,2021-01-01
12,Republic Airways,3.0,28.0,0.0,0.0,0.0,31.0,31.0,766.0,3171190.0,82100.0,2021,Q1 2021,31.0,0.0,0.025099999999999997,0.001,0.0242,2021-01-01
13,SkyWest Airlines,1.0,25.0,0.0,0.0,0.0,26.0,26.0,2295.0,5427962.0,614600.0,2021,Q1 2021,26.0,0.0,0.0428,0.0005,0.0423,2021-01-01
14,Southwest Airlines,72.0,120.0,0.0,0.0,0.0,192.0,192.0,1439.0,17846213.0,0.0,2021,Q1 2021,192.0,0.0,0.0091,0.0011,0.0081,2021-01-01
15,Spirit Airlines,1.0,34.0,0.0,76.0,0.0,111.0,35.0,1683.0,5236309.0,0.0,2021,Q1 2021,35.0,76.0,0.0343,0.0021,0.0321,2021-01-01
16,United Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,8723919.0,0.0,2021,Q1 2021,0.0,0.0,0.0068,0.0,0.0068,2021-01-01
0,Alaska Airlines Codeshare,0.0,16.0,0.0,17.0,0.0,33.0,16.0,915.0,5911527.0,3092.0,2021,Q2 2021,16.0,17.0,0.016,0.0006000000000000001,0.0155,2021-04-01
1,Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,3699217.0,0.0,2021,Q2 2021,0.0,0.0,0.0055000000000000005,0.0,0.0055000000000000005,2021-04-01
2,American Airlines,24.0,331.0,0.0,53.0,0.0,408.0,408.0,5192.0,28314308.0,0.0,2021,Q2 2021,355.0,53.0,0.019799999999999998,0.0014,0.0183,2021-04-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3231.0,24200394.0,2033608.0,2021,Q2 2021,0.0,0.0,0.0134,0.0,0.0134,2021-04-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0,3517547.0,725549.0,2021,Q2 2021,0.0,0.0,0.0336,0.0,0.0336,2021-04-01
5,Envoy Air,1.0,64.0,1.0,49.0,0.0,115.0,114.0,1422.0,3409015.0,0.0,2021,Q2 2021,65.0,50.0,0.0451,0.0034,0.0417,2021-04-01
6,Frontier Airlines,0.0,198.0,6.0,130.0,0.0,334.0,330.0,886.0,5456373.0,4210.0,2021,Q2 2021,198.0,136.0,0.0224,0.0060999999999999995,0.0162,2021-04-01
7,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1717710.0,0.0,2021,Q2 2021,0.0,0.0,0.0006000000000000001,0.0,0.0006000000000000001,2021-04-01
8,JetBlue Airways,0.0,1.0,0.0,2.0,0.0,3.0,1.0,463.0,6993996.0,335840.0,2021,Q2 2021,1.0,2.0,0.0067,0.0,0.006600000000000001,2021-04-01
9,Mesa Airlines,1.0,31.0,0.0,8.0,0.0,40.0,40.0,808.0,2494135.0,0.0,2021,Q2 2021,32.0,8.0,0.034,0.0015999999999999999,0.0324,2021-04-01
10,PSA Airlines,9.0,62.0,4.0,40.0,0.0,115.0,111.0,1342.0,3420512.0,0.0,2021,Q2 2021,71.0,44.0,0.0426,0.0034,0.0392,2021-04-01
11,Horizon Air,0.0,57.0,0.0,0.0,0.0,57.0,57.0,706.0,1730321.0,0.0,2021,Q2 2021,57.0,0.0,0.0441,0.0033000000000000004,0.0408,2021-04-01
12,Republic Airways,4.0,83.0,0.0,24.0,0.0,111.0,111.0,2855.0,5160977.0,598410.0,2021,Q2 2021,87.0,24.0,0.057499999999999996,0.0022,0.0553,2021-04-01
13,SkyWest Airlines,0.0,84.0,0.0,2.0,0.0,86.0,86.0,3592.0,8943583.0,721849.0,2021,Q2 2021,84.0,2.0,0.041100000000000005,0.001,0.0402,2021-04-01
14,Southwest Airlines,291.0,1023.0,0.0,0.0,0.0,1314.0,1314.0,9008.0,32534837.0,0.0,2021,Q2 2021,1314.0,0.0,0.0317,0.004,0.027700000000000002,2021-04-01
15,Spirit Airlines,3.0,27.0,0.0,50.0,5.0,85.0,30.0,3131.0,7963642.0,0.0,2021,Q2 2021,30.0,55.0,0.0404,0.0011,0.0393,2021-04-01
16,United Air Lines,0.0,1.0,0.0,4.0,0.0,5.0,5.0,1341.0,14619155.0,0.0,2021,Q2 2021,1.0,4.0,0.0092,0.0,0.0092,2021-04-01
0,Alaska Airlines Codeshare,0.0,17.0,0.0,15.0,0.0,32.0,17.0,1059.0,6891202.0,350.0,2021,Q3 2021,17.0,15.0,0.015799999999999998,0.0005,0.0154,2021-07-01
1,Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,3872651.0,0.0,2021,Q3 2021,0.0,0.0,0.0134,0.0,0.0134,2021-07-01
2,American Airlines,33.0,374.0,0.0,62.0,11.0,480.0,480.0,6008.0,31669647.0,10320.0,2021,Q3 2021,407.0,73.0,0.0205,0.0015,0.019,2021-07-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12292.0,30691987.0,7876961.0,2021,Q3 2021,0.0,0.0,0.04,0.0,0.04,2021-07-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3642.0,3824655.0,2710439.0,2021,Q3 2021,0.0,0.0,0.0952,0.0,0.0952,2021-07-01
5,Envoy Air,2.0,59.0,0.0,13.0,2.0,76.0,76.0,1150.0,3628897.0,7981.0,2021,Q3 2021,61.0,15.0,0.0338,0.0021,0.0317,2021-07-01
6,Frontier Airlines,0.0,421.0,12.0,186.0,0.0,619.0,616.0,1489.0,5776460.0,3845.0,2021,Q3 2021,421.0,198.0,0.0365,0.0107,0.025799999999999997,2021-07-01
7,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2047990.0,0.0,2021,Q3 2021,0.0,0.0,9.999999999999999e-05,0.0,9.999999999999999e-05,2021-07-01
8,JetBlue Airways,0.0,24.0,0.0,0.0,0.0,24.0,24.0,901.0,7813396.0,594150.0,2021,Q3 2021,24.0,0.0,0.0118,0.00030000000000000003,0.0115,2021-07-01
9,Mesa Airlines,1.0,20.0,0.0,5.0,0.0,26.0,26.0,873.0,2721574.0,1938.0,2021,Q3 2021,21.0,5.0,0.033,0.001,0.0321,2021-07-01
10,PSA Airlines,2.0,73.0,1.0,93.0,0.0,169.0,168.0,1830.0,3513875.0,2076.0,2021,Q3 2021,75.0,94.0,0.05689999999999999,0.0048000000000000004,0.0521,2021-07-01
11,Horizon Air,0.0,50.0,0.0,0.0,0.0,50.0,50.0,459.0,1899889.0,1196.0,2021,Q3 2021,50.0,0.0,0.0268,0.0026,0.0242,2021-07-01
12,Republic Airways,1.0,111.0,0.0,63.0,3.0,178.0,178.0,5164.0,5525714.0,2468387.0,2021,Q3 2021,112.0,66.0,0.0967,0.0031999999999999997,0.0935,2021-07-01
13,SkyWest Airlines,0.0,31.0,0.0,6.0,0.0,37.0,37.0,6743.0,10489689.0,2446525.0,2021,Q3 2021,31.0,6.0,0.0646,0.00039999999999999996,0.0643,2021-07-01
14,Southwest Airlines,265.0,942.0,0.0,0.0,0.0,1207.0,1207.0,10242.0,36276768.0,0.0,2021,Q3 2021,1207.0,0.0,0.031599999999999996,0.0033000000000000004,0.028200000000000003,2021-07-01
15,Spirit Airlines,2.0,48.0,0.0,34.0,0.0,84.0,50.0,1766.0,7797518.0,0.0,2021,Q3 2021,50.0,34.0,0.0237,0.0011,0.0226,2021-07-01
16,United Air Lines,0.0,6.0,0.0,0.0,0.0,6.0,6.0,2864.0,20131527.0,0.0,2021,Q3 2021,6.0,0.0,0.0143,0.0,0.0142,2021-07-01
0,Alaska Airlines Codeshare,0.0,37.0,0.0,14.0,0.0,51.0,37.0,2386.0,6537197.0,0.0,2021,Q4 2021,37.0,14.0,0.0373,0.0007999999999999999,0.0365,2021-10-01
1,Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,3731034.0,0.0,2021,Q4 2021,0.0,0.0,0.0116,0.0,0.0116,2021-10-01
2,American Airlines,141.0,837.0,1.0,180.0,12.0,1171.0,1170.0,8787.0,32951348.0,13343.0,2021,Q4 2021,978.0,193.0,0.0302,0.0036,0.026699999999999998,2021-10-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10508.0,30133454.0,7398104.0,2021,Q4 2021,0.0,0.0,0.0349,0.0,0.0349,2021-10-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728.0,3498186.0,2197280.0,2021,Q4 2021,0.0,0.0,0.078,0.0,0.078,2021-10-01
5,Envoy Air,6.0,118.0,0.0,38.0,3.0,165.0,165.0,1952.0,3647596.0,2610.0,2021,Q4 2021,124.0,41.0,0.058,0.0045000000000000005,0.0535,2021-10-01
6,Frontier Airlines,0.0,646.0,29.0,212.0,0.0,887.0,858.0,1684.0,5734906.0,3471.0,2021,Q4 2021,646.0,241.0,0.0448,0.0155,0.0294,2021-10-01
7,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1992068.0,0.0,2021,Q4 2021,0.0,0.0,0.0007999999999999999,0.0,0.0007999999999999999,2021-10-01
8,JetBlue Airways,0.0,16.0,0.0,0.0,0.0,16.0,16.0,864.0,7738593.0,0.0,2021,Q4 2021,16.0,0.0,0.0114,0.00019999999999999998,0.0112,2021-10-01
9,Mesa Airlines,1.0,32.0,0.0,12.0,2.0,47.0,47.0,727.0,2600969.0,957.0,2021,Q4 2021,33.0,14.0,0.029799999999999997,0.0018,0.027999999999999997,2021-10-01
10,PSA Airlines,0.0,87.0,1.0,74.0,0.0,162.0,161.0,1616.0,3522061.0,5041.0,2021,Q4 2021,87.0,75.0,0.0505,0.0046,0.045899999999999996,2021-10-01
11,Horizon Air,0.0,38.0,0.0,0.0,0.0,38.0,38.0,558.0,1430372.0,0.0,2021,Q4 2021,38.0,0.0,0.0417,0.0026999999999999997,0.039,2021-10-01
12,Republic Airways,2.0,98.0,1.0,0.0,0.0,101.0,100.0,2303.0,4664483.0,1037999.0,2021,Q4 2021,100.0,1.0,0.051500000000000004,0.0022,0.0494,2021-10-01
13,SkyWest Airlines,0.0,128.0,2.0,30.0,0.0,160.0,160.0,9595.0,10216924.0,4136436.0,2021,Q4 2021,128.0,32.0,0.0955,0.0015999999999999999,0.0939,2021-10-01
14,Southwest Airlines,244.0,1060.0,0.0,0.0,0.0,1304.0,1304.0,9649.0,35778696.0,0.0,2021,Q4 2021,1304.0,0.0,0.030600000000000002,0.0036,0.027,2021-10-01
15,Spirit Airlines,3.0,86.0,0.0,5.0,0.0,94.0,89.0,1853.0,8160830.0,0.0,2021,Q4 2021,89.0,5.0,0.0239,0.0012000000000000001,0.022699999999999998,2021-10-01
16,United Air Lines,0.0,12.0,1.0,3.0,0.0,16.0,16.0,2609.0,21830661.0,0.0,2021,Q4 2021,12.0,4.0,0.012,9.999999999999999e-05,0.012,2021-10-01
