,CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,date
13,SkyWest Airlines,0.0,112.0,0.0,92.0,2.0,206.0,114.0,7413.0,9125575.0,0.0,2018,Q2 2018,112.0,94.0,0.0835,0.0023,0.0812,2018-04-01
14,Southwest Airlines,109.0,267.0,0.0,0.0,0.0,376.0,376.0,6039.0,42329176.0,0.0,2018,Q2 2018,376.0,0.0,0.015200000000000002,0.0009,0.0143,2018-04-01
15,Spirit Airlines,0.0,413.0,0.0,35.0,0.0,448.0,217.0,4852.0,7061549.0,0.0,2018,Q2 2018,413.0,35.0,0.0751,0.0063,0.0687,2018-04-01
16,United Air Lines,0.0,8.0,2.0,3.0,4.0,17.0,12.0,8615.0,25966562.0,0.0,2018,Q2 2018,8.0,9.0,0.0332,9.999999999999999e-05,0.0332,2018-04-01
0,Alaska Airlines Codeshare,0.0,121.0,0.0,65.0,6.0,192.0,121.0,2494.0,9274760.0,0.0,2018,Q3 2018,121.0,71.0,0.029,0.0021,0.026899999999999997,2018-07-01
1,Allegiant Airlines,0.0,0.0,0.0,10.0,68.0,78.0,0.0,141.0,3529711.0,0.0,2018,Q3 2018,0.0,78.0,0.006200000000000001,0.0022,0.004,2018-07-01
2,American Airlines,10.0,132.0,0.0,173.0,48.0,363.0,315.0,12697.0,34232162.0,0.0,2018,Q3 2018,142.0,221.0,0.038200000000000005,0.0011,0.0371,2018-07-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.0,37139292.0,0.0,2018,Q3 2018,0.0,0.0,0.0477,0.0,0.0477,2018-07-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5131.0,3518387.0,0.0,2018,Q3 2018,0.0,0.0,0.1458,0.0,0.1458,2018-07-01
5,Envoy Air,2.0,39.0,0.0,120.0,0.0,161.0,161.0,3437.0,3388554.0,0.0,2018,Q3 2018,41.0,120.0,0.1062,0.0048000000000000004,0.10139999999999999,2018-07-01
6,ExpressJet Airlines,0.0,1.0,0.0,2.0,0.0,3.0,3.0,1866.0,2175952.0,0.0,2018,Q3 2018,1.0,2.0,0.08589999999999999,9.999999999999999e-05,0.0858,2018-07-01
7,Frontier Airlines,0.0,169.0,0.0,328.0,22.0,519.0,122.0,1790.0,5128189.0,1986.0,2018,Q3 2018,169.0,350.0,0.045,0.0101,0.0349,2018-07-01
8,Hawaiian Airlines,0.0,3.0,0.0,,0.0,3.0,3.0,274.0,2802150.0,0.0,2018,Q3 2018,3.0,,0.009899999999999999,9.999999999999999e-05,0.0098,2018-07-01
